word,city,country,county,region,first_name,last_name,person,relation
abdul,0,0,0,0,1,0,0,0
aberdeen,1,0,0,0,0,0,0,0
abraham,0,0,0,0,1,0,0,0
abraham_lincoln,0,0,0,0,0,0,1,0
adams,0,0,0,0,0,1,0,0
adelaide,1,0,0,0,0,0,0,0
adolf,0,0,0,0,1,0,0,0
adolf_hitler,0,0,0,0,0,0,1,0
adrian,0,0,0,0,1,0,0,0
afghanistan,0,1,0,0,0,0,0,0
africa,0,0,0,1,0,0,0,0
alan,0,0,0,0,1,0,0,0
alan_turing,0,0,0,0,0,0,1,0
albert,0,0,0,0,1,0,0,0
albert_einstein,0,0,0,0,0,0,1,0
ali,0,0,0,0,0,1,0,0
alice,0,0,0,0,1,0,0,0
allen,0,0,0,0,0,1,0,0
allens,0,0,0,0,0,0,0,0
amsterdam,1,0,0,0,0,0,0,0
anderson,0,0,0,0,0,1,0,0
angelina_jolie,0,0,0,0,0,0,1,0
anna,0,0,0,0,1,0,0,0
anne,0,0,0,0,1,0,0,0
argentina,0,1,0,0,0,0,0,0
armagh,1,0,0,0,0,0,0,0
arnold,0,0,0,0,1,0,0,0
arnold_schwarzenegger,0,0,0,0,0,0,1,0
arthur,0,0,0,0,1,0,0,0
arthur_conan_doyle,0,0,0,0,0,0,1,0
asia,0,0,0,1,0,0,0,0
athens,1,0,0,0,0,0,0,0
atlanta,1,0,0,0,0,0,0,0
auckland,1,0,0,0,0,0,0,0
audrey,0,0,0,0,1,0,0,0
audrey_hepburn,0,0,0,0,0,0,1,0
aunt,0,0,0,0,0,0,0,1
australia,0,1,0,0,0,0,0,0
austria,0,1,0,0,0,0,0,0
avon,0,0,1,0,0,0,0,0
ayn_rand,0,0,0,0,0,0,1,0
bailey,0,0,0,0,0,1,0,0
baker,0,0,0,0,0,1,0,0
bangladesh,0,1,0,0,0,0,0,0
bangor,1,0,0,0,0,0,0,0
barack_obama,0,0,0,0,0,0,1,0
barcelona,1,0,0,0,0,0,0,0
barker,0,0,0,0,0,1,0,0
barnes,0,0,0,0,0,1,0,0
bath,1,0,0,0,0,0,0,0
bedford,1,0,0,0,0,0,0,0
bedfordshire,0,0,1,0,0,0,0,0
begum,0,0,0,0,0,1,0,0
beijing,1,0,0,0,0,0,0,0
belfast,1,0,0,0,0,0,0,0
belgium,0,1,0,0,0,0,0,0
belgrade,1,0,0,0,0,0,0,0
bell,0,0,0,0,0,1,0,0
benjamin_franklin,0,0,0,0,0,0,1,0
bennett,0,0,0,0,0,1,0,0
berkshire,0,0,1,0,0,0,0,0
berlin,1,0,0,0,0,0,0,0
bill,0,0,0,0,1,0,0,0
bill_clinton,0,0,0,0,0,0,1,0
birmingham,1,0,0,0,0,0,0,0
black,0,0,0,0,0,1,0,0
bob_dylan,0,0,0,0,0,0,1,0
borders,0,0,1,0,0,0,0,0
bosnia,0,1,0,0,0,0,0,0
boston,1,0,0,0,0,0,0,0
brad_pitt,0,0,0,0,0,0,1,0
bradford,1,0,0,0,0,0,0,0
brazil,0,1,0,0,0,0,0,0
brian,0,0,0,0,1,0,0,0
brighton,1,0,0,0,0,0,0,0
brisbane,1,0,0,0,0,0,0,0
bristol,1,0,0,0,0,0,0,0
britain,0,1,0,0,0,0,0,0
brooks,0,0,0,0,0,1,0,0
brother,0,0,0,0,0,0,0,1
brown,0,0,0,0,0,1,0,0
bruce_willis,0,0,0,0,0,0,1,0
brussels,1,0,0,0,0,0,0,0
bryan_ferry,0,0,0,0,0,0,1,0
buckinghamshire,0,0,1,0,0,0,0,0
bulgaria,0,1,0,0,0,0,0,0
burnham,1,0,0,0,0,0,0,0
burstein,0,0,0,0,0,1,0,0
butler,0,0,0,0,0,1,0,0
cairo,1,0,0,0,0,0,0,0
cambridge,1,0,0,0,0,0,0,0
cambridgeshire,0,0,1,0,0,0,0,0
campbell,0,0,0,0,0,1,0,0
canada,0,1,0,0,0,0,0,0
canterbury,1,0,0,0,0,0,0,0
cardiff,1,0,0,0,0,0,0,0
caribbean,0,0,0,1,0,0,0,0
carlisle,1,0,0,0,0,0,0,0
carter,0,0,0,0,0,1,0,0
catherine,0,0,0,0,1,0,0,0
central,0,0,1,0,0,0,0,0
chapman,0,0,0,0,0,1,0,0
charles,0,0,0,0,1,0,0,0
charles_darwin,0,0,0,0,0,0,1,0
charles_dickens,0,0,0,0,0,0,1,0
charlie_chaplin,0,0,0,0,0,0,1,0
chaudhuri,0,0,0,0,0,1,0,0
chelmsford,1,0,0,0,0,0,0,0
cheshire,0,0,1,0,0,0,0,0
chester,1,0,0,0,0,0,0,0
chicago,1,0,0,0,0,0,0,0
chichester,1,0,0,0,0,0,0,0
chile,0,1,0,0,0,0,0,0
china,0,1,0,0,0,0,0,0
churchill,0,0,0,0,0,1,0,0
clark,0,0,0,0,0,1,0,0
clarke,0,0,0,0,0,1,0,0
clarkson,0,0,0,0,0,1,0,0
cleveland,0,0,1,0,0,0,0,0
clifford,0,0,0,0,0,1,0,0
clinton,0,0,0,0,0,1,0,0
clwyd,0,0,1,0,0,0,0,0
collins,0,0,0,0,0,1,0,0
colombia,0,1,0,0,0,0,0,0
cook,0,0,0,0,0,1,0,0
cooper,0,0,0,0,0,1,0,0
cornwall,0,0,1,0,0,0,0,0
cousin,0,0,0,0,0,0,0,1
coventry,1,0,0,0,0,0,0,0
cox,0,0,0,0,0,1,0,0
croatia,0,1,0,0,0,0,0,0
cuba,0,1,0,0,0,0,0,0
cumbria,0,0,1,0,0,0,0,0
dad,0,0,0,0,0,0,0,1
daley,0,0,0,0,0,1,0,0
dambrosio,0,0,0,0,0,1,0,0
daughter,0,0,0,0,0,0,0,1
david,0,0,0,0,1,0,0,0
david_beckham,0,0,0,0,0,0,1,0
davies,0,0,0,0,0,1,0,0
davis,0,0,0,0,0,1,0,0
denmark,0,1,0,0,0,0,0,0
derby,1,0,0,0,0,0,0,0
derbyshire,0,0,1,0,0,0,0,0
derry,1,0,0,0,0,0,0,0
devon,0,0,1,0,0,0,0,0
dinah_shore,0,0,0,0,0,0,1,0
dixon,0,0,0,0,0,1,0,0
donald,0,0,0,0,1,0,0,0
donald_trump,0,0,0,0,0,0,1,0
dorset,0,0,1,0,0,0,0,0
dundee,1,0,0,0,0,0,0,0
durham,1,0,0,0,0,0,0,0
dyfed,0,0,1,0,0,0,0,0
edgar,0,0,0,0,1,0,0,0
edinburgh,1,0,0,0,0,0,0,0
edward,0,0,0,0,1,0,0,0
edwards,0,0,0,0,0,1,0,0
egypt,0,1,0,0,0,0,0,0
einstein,0,0,0,0,0,1,0,0
eleanor_roosevelt,0,0,0,0,0,0,1,0
elizabeth,0,0,0,0,1,0,0,0
ellis,0,0,0,0,0,1,0,0
elvis_presley,0,0,0,0,0,0,1,0
ely,1,0,0,0,0,0,0,0
emma,0,0,0,0,1,0,0,0
erik,0,0,0,0,1,0,0,0
essex,0,0,1,0,0,0,0,0
eubank,0,0,0,0,0,1,0,0
europe,0,0,0,1,0,0,0,0
evans,0,0,0,0,0,1,0,0
exeter,1,0,0,0,0,0,0,0
faroe_islands,0,1,0,0,0,0,0,0
father,0,0,0,0,0,0,0,1
fife,0,0,1,0,0,0,0,0
finland,0,1,0,0,0,0,0,0
fisher,0,0,0,0,0,1,0,0
foster,0,0,0,0,0,1,0,0
france,0,1,0,0,0,0,0,0
frank,0,0,0,0,1,0,0,0
frank_sinatra,0,0,0,0,0,0,1,0
frankfurt,1,0,0,0,0,0,0,0
frederick,0,0,0,0,1,0,0,0
galileo_galilei,0,0,0,0,0,0,1,0
geneva,1,0,0,0,0,0,0,0
george,0,0,0,0,1,0,0,0
george_washington,0,0,0,0,0,0,1,0
germany,0,1,0,0,0,0,0,0
ghana,0,1,0,0,0,0,0,0
gilbert,0,0,0,0,1,0,0,0
glasgow,1,0,0,0,0,0,0,0
gloucester,1,0,0,0,0,0,0,0
gloucestershire,0,0,1,0,0,0,0,0
gordon,0,0,0,0,1,0,0,0
graham,0,0,0,0,1,0,0,0
graham_norton,0,0,0,0,0,0,1,0
grampian,0,0,1,0,0,0,0,0
grandfather,0,0,0,0,0,0,0,1
grandmother,0,0,0,0,0,0,0,1
gray,0,0,0,0,0,1,0,0
great_britain,0,1,0,0,0,0,0,0
